COUNTRIES of the WORLD - by population 2019 - from www.worldometers.info - (continent & region added),,,,,,,,,,,,
LifeExpectancy from 2015 (CIA World FactBook) -  www.infoplease.com/world/health-and-social-statistics (with some modifications),,,,,,,,,,,,
rank,country,continent,region,population,life expectancy,net change,density,land area,migrants,fert. rate,med. age,urban pop
,,,,(est. in 2019),,,(pop/sq km),(sq km),(net),,,
179,Martinique,North America,Caribbean,375554,N.A.,-119,354,1060,-960,1.9,47,0.91
180,Iceland,Europe,Nordic Countries,339031,83,2318,3,100250,380,1.8,37,0.94
181,Vanuatu,Oceania,Melanesia,299882,73.1,7202,25,12190,120,3.8,21,0.24
182,French Guiana,South America,South America,290832,N.A.,7894,4,82200,1200,3.4,25,0.87
183,Barbados,North America,Caribbean,287025,75.2,384,668,430,-79,1.6,40,0.31
184,New Caledonia,Oceania,Melanesia,282750,77.5,2757,15,18280,502,2,34,0.71
185,French Polynesia,Oceania,Polynesia,279287,77,1608,76,3660,-1000,2,34,0.64
186,Mayotte,Africa,Eastern Africa,266150,N.A.,6619,710,375,0,3.7,20,0.46
187,Sao Tome & Principe,Africa,Central Africa,215056,64.6,4028,224,960,-1680,4.4,19,0.73
188,Samoa,Oceania,Polynesia,197097,73.5,968,70,2830,-2803,3.9,22,0.18
189,Saint Lucia,North America,Caribbean,182790,77.6,901,300,610,0,1.4,34,0.19
190,Channel Islands,Europe,British Islands,172259,82.1,1760,907,190,1351,1.5,43,0.3
191,Guam,Oceania,Micronesia,167294,79,1526,310,540,-506,2.3,31,0.95
192,Curacao,North America,Caribbean,163424,78,672,368,444,515,1.8,42,0.89
193,Kiribati,Oceania,Micronesia,117606,65.8,1759,145,810,-800,3.6,23,0.56
194,Micronesia,Oceania,Micronesia,113815,72.6,1175,163,700,-600,3.1,24,0.21
195,Grenada,North America,Caribbean,112003,74.1,549,329,340,-200,2.1,32,0.35
196,St. Vincent & Grenadines,North America,Caribbean,110589,75.1,378,284,390,-200,1.9,33,0.53
197,Aruba,North America,Caribbean,106314,76.6,469,591,180,201,1.9,41,0.43
198,U.S. Virgin Islands,North America,Caribbean,104578,79.9,-102,299,350,-451,2,43,0.96
199,Tonga,Oceania,Polynesia,104494,76,1297,145,720,-800,3.6,22,0.24
200,Seychelles,Africa,Eastern Africa,97739,74.5,643,212,460,-200,2.5,34,0.56
